name,url,description,stars,forks,language,created_at,updated_at
FoxP/PNG-to-ICO,https://github.com/FoxP/PNG-to-ICO,"KISS batch script to easily convert PNG, GIF, BMP, SVG or JPG images to multi-resolution ICO files using ImageMagick.",244,25,Batchfile,2018-03-10T20:18:32Z,2025-11-02T05:25:32Z
daniel-sc/bash-shell-to-bat-converter,https://github.com/daniel-sc/bash-shell-to-bat-converter,Converter for bash shell scripts to windows batch files.,242,47,TypeScript,2019-10-15T19:21:37Z,2025-10-29T21:54:36Z
ancel1x/Ancels-Performance-Batch,https://github.com/ancel1x/Ancels-Performance-Batch,Open Source Tweaker made to improve system performance and lower system latency.,240,22,Batchfile,2023-02-05T18:19:47Z,2025-10-23T07:44:47Z
GDX-X/PFS-BatchKit-Manager,https://github.com/GDX-X/PFS-BatchKit-Manager,Manage your PlayStation 2/PSX DESR HDD,225,14,Batchfile,2021-10-24T00:36:27Z,2025-11-02T12:36:34Z
Espionage724/Windows,https://github.com/Espionage724/Windows,Various batch files for Windows,214,57,Batchfile,2017-05-01T09:00:20Z,2025-10-24T17:42:28Z
stbrenner/SilentCMD,https://github.com/stbrenner/SilentCMD,SilentCMD executes a batch file without opening the command prompt window.,214,22,C#,2016-04-04T21:38:48Z,2025-10-27T12:35:52Z
blackrosezy/build-libcurl-windows,https://github.com/blackrosezy/build-libcurl-windows,Batch script to download and build libcurl (using Visual Studio compiler),213,75,HTML,2013-05-26T12:54:58Z,2025-10-16T17:55:16Z
vegardit/cygwin-portable-installer,https://github.com/vegardit/cygwin-portable-installer,Windows batch file to perform unattended installations of a portable Cygwin environment.,203,42,Batchfile,2017-06-17T11:42:38Z,2025-10-22T01:57:35Z
ManuelGil/Script-Reset-Windows-Update-Tool,https://github.com/ManuelGil/Script-Reset-Windows-Update-Tool,This script reset the Windows Update Components.,198,51,Batchfile,2017-04-11T03:59:07Z,2025-10-21T10:21:31Z
yornaath/batshit,https://github.com/yornaath/batshit,A batch manager that will deduplicate and batch requests for a certain data type made within a window. Useful to batch requests made from multiple react components that uses react-query,198,6,TypeScript,2022-12-22T12:29:10Z,2025-10-25T07:57:37Z
prestonsn/windows-10-activation-script,https://github.com/prestonsn/windows-10-activation-script,A Windows batch file that tries Windows activation keys found around the internet.,185,81,Batchfile,2019-08-02T20:18:08Z,2025-10-16T08:35:06Z
dehoisted/Bat2Exe,https://github.com/dehoisted/Bat2Exe,Windows user interface for converting your batch files into executables.,184,30,C#,2021-07-15T17:06:15Z,2025-10-28T08:19:48Z
auspbro/batch-snippets,https://github.com/auspbro/batch-snippets,常用批处理,179,67,Batchfile,2015-10-28T05:41:07Z,2025-09-23T02:58:41Z
wieslawsoltes/BatchEncoder,https://github.com/wieslawsoltes/BatchEncoder,BatchEncoder is an audio files conversion software.,175,17,C++,2017-01-07T06:25:25Z,2025-10-30T17:58:40Z
yanncam/exe2powershell,https://github.com/yanncam/exe2powershell,exe2powershell - exe2bat reborn for modern Windows,173,44,C++,2016-03-02T11:23:32Z,2025-10-03T11:29:42Z
freshe/poddl,https://github.com/freshe/poddl,Podcast Downloader - Download all podcasts / episodes from an RSS-feed,164,16,C++,2019-04-16T11:08:08Z,2025-10-29T16:18:42Z
Andrew-J-Larson/OS-Scripts,https://github.com/Andrew-J-Larson/OS-Scripts,This is where I'll put my custom scripts/functions that might be useful in future projects of mine.,163,33,PowerShell,2019-09-01T18:45:46Z,2025-11-04T01:53:42Z
xxmichibxx/Batch-CIA-3DS-Decryptor-Redux,https://github.com/xxmichibxx/Batch-CIA-3DS-Decryptor-Redux,"Decrypting Nintendo 3DS games and applications (.3ds, .cia)",163,9,Batchfile,2023-11-28T21:43:39Z,2025-11-01T13:22:45Z
SkyEmie/batch-obfuscator,https://github.com/SkyEmie/batch-obfuscator,Easy way to obfuscate windows batch files (demo),161,30,PHP,2019-05-23T22:21:42Z,2025-10-31T22:23:03Z
w3c/libwww,https://github.com/w3c/libwww,"Libwww is a highly modular, general-purpose client side Web API written in C for Unix and Windows (Win32). It's well suited for both small and large applications, like browser/editors, robots, batch tools, etc. Pluggable modules provided with libwww include complete HTTP/1.1 (with caching, pipelining, PUT, POST, Digest Authentication, deflate, etc), MySQL logging, FTP, HTML/4, XML (expat), RDF (SiRPAC), WebDAV, and much more. The purpose of libwww is to serve as a testbed for protocol experiments.  This is a complete mirror of the libwww CVS repository",155,36,C,2013-02-01T18:27:43Z,2025-10-22T10:47:36Z
